,index,year,state,district,party,votes,totalvotes,two_party_pct,total_pct
471,471,1976,NJ,2,REPUBLICAN,87915,229668,0.3827916819060557,0.3827916819060557
472,472,1976,NJ,3,DEMOCRAT,127164,204739,0.6261213798264877,0.6211029652386697
473,473,1976,NJ,3,REPUBLICAN,75934,204739,0.3738786201735123,0.37088195214394915
474,474,1976,NJ,4,DEMOCRAT,113281,170868,0.6740108288213245,0.6629737575204251
475,475,1976,NJ,4,REPUBLICAN,54789,170868,0.32598917117867554,0.32065102886438657
476,476,1976,NJ,5,DEMOCRAT,64598,206106,0.3191585021813133,0.31342124926008946
477,477,1976,NJ,5,REPUBLICAN,137803,206106,0.6808414978186866,0.6686025637293431
478,478,1976,NJ,6,DEMOCRAT,85053,214304,0.40314637418058236,0.39688013289532625
479,479,1976,NJ,6,REPUBLICAN,125920,214304,0.5968536258194177,0.5875765268030462
480,480,1976,NJ,7,DEMOCRAT,120526,213150,0.5654515599343185,0.5654515599343185
481,481,1976,NJ,7,REPUBLICAN,92624,213150,0.43454844006568144,0.43454844006568144
482,482,1976,NJ,8,DEMOCRAT,108841,154196,0.708526455577544,0.7058613712417962
483,483,1976,NJ,8,REPUBLICAN,44775,154196,0.291473544422456,0.2903771822874783
484,484,1976,NJ,9,DEMOCRAT,89723,202344,0.4550378593852224,0.4434181394061598
485,485,1976,NJ,9,REPUBLICAN,107454,202344,0.5449621406147775,0.5310461392480132
486,486,1976,NJ,10,DEMOCRAT,88245,106775,0.8374456697097956,0.826457504097401
487,487,1976,NJ,10,REPUBLICAN,17129,106775,0.1625543302902044,0.1604214469679232
488,488,1976,NJ,11,DEMOCRAT,129026,190808,0.6847677831262637,0.6762085447151063
489,489,1976,NJ,11,REPUBLICAN,59397,190808,0.3152322168737362,0.3112919793719341
490,490,1976,NJ,12,DEMOCRAT,49189,187282,0.26422685617902686,0.262646703901069
491,491,1976,NJ,12,REPUBLICAN,136973,187282,0.7357731438209731,0.7313730096859282
492,492,1976,NJ,13,DEMOCRAT,105291,209051,0.5127616988326734,0.5036617858800005
493,493,1976,NJ,13,REPUBLICAN,100050,209051,0.4872383011673265,0.4785913485226093
494,494,1976,NJ,14,DEMOCRAT,73174,146768,0.5245711254328174,0.49856917039136595
495,495,1976,NJ,14,REPUBLICAN,66319,146768,0.4754288745671826,0.45186280388095496
496,496,1976,NJ,15,DEMOCRAT,106170,179836,0.6608488892485233,0.5903712271180409
497,497,1976,NJ,15,REPUBLICAN,54487,179836,0.33915111075147675,0.30298160546275493
498,498,1976,NM,1,DEMOCRAT,61800,225546,0.27541702505047083,0.2740017557394057
499,499,1976,NM,1,REPUBLICAN,162587,225546,0.7245829749495292,0.7208596029191384
500,500,1976,NM,2,DEMOCRAT,123563,175694,0.7032852573223901,0.7032852573223901
501,501,1976,NM,2,REPUBLICAN,52131,175694,0.29671474267760994,0.29671474267760994
502,502,1976,NV,0,DEMOCRAT,153996,199863,0.8645632158095666,0.7705077978415215
503,503,1976,NV,0,REPUBLICAN,24124,199863,0.13543678419043342,0.12070268133671565
504,504,1976,NY,1,DEMOCRAT,135528,207468,0.6532477297703743,0.6532477297703743
505,505,1976,NY,1,REPUBLICAN,71940,207468,0.3467522702296258,0.3467522702296258
506,506,1976,NY,2,DEMOCRAT,92147,159902,0.5762717164263111,0.5762717164263111
507,507,1976,NY,2,REPUBLICAN,67755,159902,0.42372828357368886,0.42372828357368886
508,508,1976,NY,3,DEMOCRAT,96615,181439,0.5324930141810746,0.5324930141810746
509,509,1976,NY,3,REPUBLICAN,84824,181439,0.46750698581892536,0.46750698581892536
510,510,1976,NY,4,DEMOCRAT,83971,190029,0.44188518594530307,0.44188518594530307
511,511,1976,NY,4,REPUBLICAN,106058,190029,0.5581148140546969,0.5581148140546969
512,512,1976,NY,5,DEMOCRAT,87868,198234,0.443253932221516,0.443253932221516
513,513,1976,NY,5,REPUBLICAN,110366,198234,0.556746067778484,0.556746067778484
514,514,1976,NY,6,DEMOCRAT,112422,181947,0.617883229731735,0.617883229731735
515,515,1976,NY,6,REPUBLICAN,69525,181947,0.38211677026826496,0.38211677026826496
516,516,1976,NY,7,DEMOCRAT,107312,113373,0.9527580726785223,0.946539299480476
517,517,1976,NY,7,REPUBLICAN,5321,113373,0.04724192732147772,0.046933573249362724
518,518,1976,NY,8,DEMOCRAT,107295,137861,0.7804067323218364,0.7782839236622395
519,519,1976,NY,8,REPUBLICAN,30191,137861,0.2195932676781636,0.21899594519117083
520,520,1976,NY,9,DEMOCRAT,115195,115195,1.0,1.0
521,521,1976,NY,10,DEMOCRAT,110094,115962,0.9493972163294873,0.9493972163294873
522,522,1976,NY,10,REPUBLICAN,5868,115962,0.050602783670512755,0.050602783670512755
523,523,1976,NY,11,DEMOCRAT,88939,114458,0.7770448548812665,0.7770448548812665
524,524,1976,NY,11,REPUBLICAN,25519,114458,0.22295514511873352,0.22295514511873352
525,525,1976,NY,12,DEMOCRAT,43203,49632,0.8704666344294004,0.8704666344294004
526,526,1976,NY,12,REPUBLICAN,6429,49632,0.1295333655705996,0.1295333655705996
527,527,1976,NY,13,DEMOCRAT,110624,132224,0.8366408518877058,0.8366408518877058
528,528,1976,NY,13,REPUBLICAN,21600,132224,0.1633591481122943,0.1633591481122943
529,529,1976,NY,14,DEMOCRAT,55723,65591,0.8612519319938177,0.8495525300727234
